19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
A                        63438     0.00     0.00   +1.5876    100.00%
The                     114717     0.00     0.00   +1.2349     77.78%
Two                     177632     0.00     0.00   +1.2192     76.80%
People                  243749     0.00     0.00   +1.0924     68.81%
This                    206879     0.00     0.00   +0.9866     62.15%
Three                   243054     0.00     0.00   +0.9638     60.71%
An                      163757     0.00     0.00   +0.9267     58.37%
Man                     146068     0.00     0.00   +0.8073     50.85%
Children                106854     0.00     0.00   +0.7680     48.37%
Men                     207462     0.00     0.00   +0.7537     47.48%
peels                   207462     0.00     0.00   +0.7537     47.48%
There                   216996     0.00     0.00   +0.7508     47.29%
Several                 223063     0.00     0.00   +0.7427     46.78%
Woman                   218153     0.00     0.00   +0.7132     44.92%
Young                   242025     0.00     0.00   +0.6583     41.47%
Many                     73461     0.00     0.00   +0.6576     41.42%
Four                     87416     0.00     0.00   +0.6499     40.94%
One                      46073     0.00     0.00   +0.6488     40.87%
Someone                 221140     0.00     0.00   +0.6472     40.76%
ball                     80836     0.00     0.00   +0.6340     39.94%
's                      135810     0.00     0.00   +0.6286     39.59%
man                      26634     0.00     0.00   +0.6269     39.49%
Group                    28414     0.00     0.00   +0.6254     39.39%
dog                      68059     0.00     0.00   +0.6251     39.37%
In                      224351     0.00     0.00   +0.6181     38.93%
girl                     45088     0.00     0.00   +0.6160     38.80%
Women                   164110     0.00     0.00   +0.5955     37.51%
race                    178131     0.00     0.00   +0.5938     37.40%
wearing                 234186     0.00     0.00   +0.5878     37.02%
Some                    185143     0.00     0.00   +0.5865     36.94%
holding                 260446     0.00     0.00   +0.5823     36.68%
Five                     68300     0.00     0.00   +0.5805     36.57%
Person                   98480     0.00     0.00   +0.5758     36.27%
Girl                    152442     0.00     0.00   +0.5665     35.68%
Terrible                 31025     0.00     0.00   +0.5597     35.25%
playing                  31025     0.00     0.00   +0.5597     35.25%
performing              116047     0.00     0.00   +0.5572     35.10%
Boy                     144583     0.00     0.00   +0.5538     34.88%
I                       122826     0.00     0.00   +0.5444     34.29%
preparing               206790     0.00     0.00   +0.5364     33.79%
outside                  24993     0.00     0.00   +0.5342     33.65%
@-@                     188223     0.00     0.00   +0.5293     33.34%
background              261764     0.00     0.00   +0.5292     33.33%
jumping                 186699     0.00     0.00   +0.5214     32.84%
players                 158311     0.00     0.00   +0.5200     32.75%
Workers                  53020     0.00     0.00   +0.5146     32.41%
Asian                   243518     0.00     0.00   +0.5113     32.20%
struck                  243518     0.00     0.00   +0.5113     32.20%
player                   56259     0.00     0.00   +0.5101     32.13%
boy                     101789     0.00     0.00   +0.5053     31.83%
walking                 174807     0.00     0.00   +0.5029     31.68%
Dog                     196117     0.00     0.00   +0.5007     31.54%
workers                 211549     0.00     0.00   +0.4960     31.24%
enjoying                201295     0.00     0.00   +0.4916     30.96%
riding                  252250     0.00     0.00   +0.4847     30.53%
restaurant                7441     0.00     0.00   +0.4843     30.51%
sitting                 139320     0.00     0.00   +0.4821     30.37%
soccer                   78641     0.00     0.00   +0.4816     30.33%
Construction            141491     0.00     0.00   +0.4787     30.15%
park                    249555     0.00     0.00   +0.4737     29.84%
Six                     245287     0.00     0.00   +0.4702     29.62%
wave                     84164     0.00     0.00   +0.4696     29.58%
woman                   139080     0.00     0.00   +0.4661     29.36%
streets                  61108     0.00     0.00   +0.4656     29.32%
Little                   27149     0.00     0.00   +0.4637     29.20%
ready                   248193     0.00     0.00   +0.4631     29.17%
outdoor                 153981     0.00     0.00   +0.4587     28.89%
skateboard               50072     0.00     0.00   +0.4560     28.72%
snow                     92032     0.00     0.00   +0.4545     28.63%
These                   130592     0.00     0.00   +0.4498     28.33%
Kids                    238041     0.00     0.00   +0.4483     28.24%
parade                   30235     0.00     0.00   +0.4454     28.05%
